Text,Sentiment
"ation and the American Woman's
Legion.
Mrs. Coolidge a • Patroness.
Mrs. Walter I. McCoy, president of
the George Baldwin McCoy Unit,
American Women's Legion, .and Mrs.
W. W. Husband, ebairmafii of the
Americanization romfntttee o's the
District of Columbia, D. A. R.. are
'hytr’uen of the patroness’ committee.
Mrs. Calvin Coolidge’s name beads the
list of prominent Women whb have
consented to act as patronesses. Miss
L. O. Burroughs is chairman ,of the
poster committee, which has furnished
many posters for’display. Thcjse ik>s
ters were judged by Clifford K. Ber
ryman, W. A. Rogers -and W.
Clarke Noble at a special exhibit
April 9. Miss Margaret Henry, stu",1
"Blister— Easier, Quicker
There’s no sense in mixing a mess of
Inu3tard, flour and water when you can
easily relieve pain, soreness or stiffness
with a little clean, white Musterole.
Musterole is made of pure oil of
mustard and other helpful ingredients,
combined in the form of the present
white ointment. It takes the place of
mustard plasters, and will not blister.
Musterole usually gives prompt relief
from sore throat,„bronchitis, tonsilitis,
croup, stiff neck, asthma, neuralgia,
headache, congestion, pleurisy, rheuma
tism, lumbago, pains and aches of the
back or Joints, sprains, sore musclei,
bruises, chilblains, frosted feet, colds of
the chest (it may prevent pneumonia).
To Mothers: Musterole is also
made in milder form for babies",0
"The acquisition of the Mattjhew G.
Emery tr&ct in Brightwood' 'as the
most suitable site dor a high school
Mas advocated in a resolution Unani
mously adopted at'a meeting of the
Bright wood Citizens' Association last
night in Holy . Comforter Parish- Hall.
The Introduction of the resolution
by William McK. Clayton, followed a
lengthy discussion of the school needs
in Brightwood and vicinity, ‘and it was
voted to invite the attention of the
District Commissioners and the Board
of Education to the necessity of secur
ing a site for a high school. ~
The tract extends 700 feet t>n the
east side of Georgia avenue and cov
ers six acres, bouhded on the south
by Madison street, on the ndrth by",1
"The association instructed its dele
gates to the Federation of Citizens’
Associations to vote for John A. Saul,
who has been nominated to the ad
visory council. The delegates, John
A. Saul and Mr. Clayton, were also
instructed to vote for one delegate
on the council from the northeast,
southeast and southwest sections of
the city; also that the council elect its
own chairman of the advisory coun
cil instead of as at present planned.
Tributes to Lancaster.
Tributes were paid by John C.
Proctor, Clayton, Charles Landgraf,
Charles W. Ray and A. W. Foster
to the late Charles C. Lancaster, vice
president of the association. The as
sociation appointed a committee, com
posed of Proctor, L. F. Randolph and
Clayton, to draft resolutions to be
sent to the family.",0
"A resolution was adopted express
ing appreciation to the Zoning Com
mission and Maj. Wheeler for their
activities in saving detached home
owners in the area bounded by
Georgia avenue, Blair road, Quacken
bos street, Concord avenue and Madi
son street, from the proposed invasion
of that section by rows of brick
houses.
The poor lighting facilities on
Georgia avenue were again brought
to the attention of the association
by Mr. Proctor.
CITY HIRES PRESS AGENT.
John Wilbur Jenkins Is Appointed
by Hylan.
NEW YORK, April 22.—Announce
ment was made by Mayor Hylan yes
terday of the appointment of John
Wilbur Jenkins as director of the
Bureau of Public Information for the
City of New York. He will have
charge of publicity for the city.
Mr. Jenkins was formerly managing
editor of the Raleigh, N. C., News and
Observer, owned by former Secretary
of the Navy .Josephus Daniels, and
later was Mr. Daniels’ secretary in
the Navy Department. He was once
city editor of the Baltimore Sun.
CHARGE ACCOUNTS",1
"mining tt>wn of Cananea, Sonora,
jihout 50 miles south of the interna
tional last night, took toll
of a disastrous fire , which left the
major, portion of the community a
charred mass of debris and smolder
ing ruins.'. ' .
The .flames, which' started in the
business district early yesterday, were
brought*, under control last* njght.,after
destroying property valued at approxi
mately S2OO,WW. One 'Chinese mer
chant wasi burned to death.
The honpeless werp estimated at
2.000. TheiV homes were directly in
ihe path of the flames when the wind
carried burning embers to the resi
dential camps. Relief work is being
.carried out under the direction of
ithe Red Gross and the Cananea-
Methodist Church. More
than 300 families, made destitute by
tiie conflagration, were housed in
• hurohes. schools, public buildings
‘.and a few residences which escaped
' ihe fire.
t'nronfirmed reports said three other
I persons, a Mexican, his wife and
'their child, lost their lives.
BLAZE COSTS $750,000.",-1
"Learning that a police search had!
been instituted for her husband. Ralph
Charnock, hotel clerk, wanted on al
charge of having taken $750 from a I
safe in the office at the Martinique |
Hotel, Sixteenth and M streets, where j
.he was employed, Mrs. Gertrude Char- .
nock, 30 ears old. w ent to the bath-1
| room of her apartment, at 1745 K|
_ street, yesterday afternoon and is re- j
i ported by the police to have attempted
; suicide by cutting her wrist and swal
lowing poison.
She was found unconscious by her
brother-in-law. John L. Morlng, when
he returned to the apartment late In
the afternoon. She was taken to;
Emergency Hospital, where it was
said this morning that she will re
cover.
Charnock, former clerk in the Am
bassador Hotel, Atlantic City, and
other prominent hotels in various
cities, is said to have disappeared
j from the Martinique early yesterday
1 after he had told another clerk of
I having left his keys to the safe at",-1
"Detectives Mullen and Murphy are
; investigating his reported disappear-;
ance from the city. Investigation of
the disappearance of the money from i
the hotel safe was followed by the'
issuance of a warrant for his arrest.;
and police of other cities will be asked'
j to' look for him.",-1
"! Princess Xlarv of England is a
great lover of. farm life and takes
' pride in personally supervising the
j poultry raising on the home farm on
i Lord Lascelle's estate.
THE EVENING STAR, WASHINGTON, B. C„ WEDNESDAY, APRIL 22, 1925,
HARVARD LAMPOON:
HELD UPjN MAILS
Copies of College Paper Sent
Here for Ruling on Its
Use of Flag.
By the AnsocintM Prem.
BOSTON, April 22.—Pending a de
cision by the solicitor general at
Washington on whether or not the
| current issue of the Harvard Lam
poon. college humorous periodical,
contains obscene matter and whether",1
"One copy of the Lampoon was sent
yesterday, Colvin said, to- the solic
itor general. A second copy was sent
to United States Attorney Harold P.
Williams to enable the district at
torney to decide whether any Fed
eral statute had been violated. The !
action taken by the post office of- j
: ficials, Colvin said, in purely routine.
The matter to be ruled upon by ,
the solicitor general, he said, was a '
! cartoon on page IS4 of the Lampoon. ;
which had been held objectionabie
by the Boston and Cambridge police.
No question had been raised, he said.
! regarding the use of the United
States flag In a burleque picture of
j Washington crossing the Delaware
i jn the cover.",1
"j Better Business Bureau Director
Defends Honest Advertising.
Howard Cool, director of the Bet
ter Business Bureau, was honor guest
at the meeting of the Zonta Club
yesterday. He was presented by Miss
Jessie La Salle, newly-elected presi
dent of the club.
Mr. Cool addressed the club on the
subject of the evolution of honesty in
retail advertising, demonstrating the
methods of accurate advertising state
ments and stressing the benefits to
j both the public and merchants. The
question of investments was also dis
cussed by Mr. Cool, who illustrated
sales talks employed to trap investors
in worthless securities.
Judge Katherine Sellers, a member",0
"Judge Katherine Sellers, a member
of the club, has gone to New York,
where she will speak over the radio
1 on ""What Women Have Accomplished
in Ten Years,” it was announced at
i the meeting.
Reds Begin Hanger Strike.",1
"Fifty Com
munists, held in the city jail on
charges of political offenses, have
begun a hunger strike in protest
against what they allege is the inten
tional delay by the
bringing them to trial.
Psychiatrist May Be New Radio Need;
Strange “ Messages ” Cause Complaints
IRv Oon*oli<l»ti»d I’rfM. »
The qualifications for the posi- I
tion of. chief radio supervisor may
• eventually include a complete
; knowledge of psychiatry as well as
a thorough familiarity with wave
lengths and the odds and ends of
radio science.",-1
"Ever since radio broadcasting be
came a national institution, letters
complaining of mysterious mes
sages, tuned in without the aid of
a receiving set and usually of a
terrifying nature, have found their
way into the files of the Depart
ment of Commerce. Most of them
have remained there.
On Tuesday, however, one of the
""victims"" of the mystic messages
made a 200-mile trip to Washington
to discuss.his wireless persecution
with Chief Kadio Supervisor W. D.
Terrell. According to Mr. Terrell.
BUSINESS IS POLLED
ON MUSCLE SHOALS",-1
"A poll of a number of prominent
i business men and organizations is be
ing made by the President's Muscle
* Shoals Commission to get their views |
' as to what should be done with the
Government property at Muscle
Shoals, Ala.. Chairman McKenzie of
the commission announced today.
“Your interest in public affairs.” the
letter reads, ""prompts us to write to
you. informing you »that we would
be glad to have you submit at your
earliest convenience your views on
this question."" Replies to the. letter
were requested by June 1. and those
polled y>ere asked if fttey wmuld be
willing to appear before the commis
sion.
The list of those to whom the letter i
was addressed includes Henry Ford,;
William Green. President of the Amer
ican Federation of Labor; Frank 0.1
Lowden, former Governor of Illionois;
Alex Legge, president, of the Inter-!
national Harvester Co.; George Peek [
of the Molirie Plow Co.; K. F. Price of.
the Union Carbide Co.; the Alabama j
Light and Power Co., and deans of!
various State agricultural colleges.
TALKS ON AUSTRALIA.
I",0
"Miss Grace Holder, lecturer of i
Australia, will speak tomorrow night
at the Congregational Church, Tenth i
and G streets, on ""Seeing Things,” in !
conjunction with the showing of pic- I
tures o fthe flora and fauna and !
other interesting features of Aus- I
tralia’s ""bush"" life, which she col- :
i leeted during her long tour of her
1 native land.
Miss Holder will also speak on
| ""Some of the Things I Have Seen""
lin this country during her 14
’ months’ visit here. Other features of
the entertainment will be an organ
recital by Robert Ruckman and
operatic selections by Miss Artemisia
Bowen of New York. The program
will be given ai 7:45 o'clock.
his visitor was the first of the al
-1 leged receivers of the untraceablc
communications who has taken the
matter up in person with the de
partment.",1
"Although busy with a mass of
papers, piled up on his desk during
his absence last week. Supervisor
Terrell turned from liis study of
wave lengths and applications for
licenses to discuss his visitor's
case for an hour.
Except for the man’s idea that
he is being persecuted by some un
known sender of messages, his
visitor appeared perfectly normal,
Mr. Terrell said.
According to the story told to
Mr. Terrell, his visitor complains
that the messages have entirely
wrecked his business and made his
asociates loose confidence in hlm.-",-1
"The new- grand jury summoned for
May 4 may hear evidence of wit
nesses in new criminal proceedings
I against the central figures in the oil
scandal. Indictments returned last
June were recently quashed by Chief
Justice McCoy, and while the Gov
ernment has appealed from the rul
ing. it Is not unlikely It will try to
get new indictments.
The conspiracy case Is admittedly
not barred from submission to a new
grand jury because the statute of
limitations in such matters has yet
three years to run. There is ques
tion if the bribery indictments could
be revived.",-1
"Ireland Cuts Income Tax.
DUBLIN, April 22.—Income tax In
the Irish Free State has been reduced -
from 5 to 4 shillings on the pound.
Duties have been abolished on tea,
raw cocoa, coffee and chicory and
duties have been placed on clothing,
blankets, rugs, wooden furniture and
empty glass bottles. The duty on
toilet soaps has be«n doubled.
j PAPER COST BOOST
MOVEMENT FOUGHT
Publishers’ Head Says Ca
nadians Seek to Curb Ex
port of Materials.
Rv the Associated Press.",0
"• Among suggestions made by S. E.
Thomason, president of the associa
tion. in his opening address .was one
recommending a semi-annual meet
ing, possibly in the Fall, because of
increased business of the organization.
""If we .hold such meetings.” he
said. ”1 would suggest that they be
at some watering place away from the
• diverting Influences of a large city,”
In relating the work of the paper
committee of the association he told
of Its efforts to prevent unjust in
creases in the cost of news print. He
told of attempts of American manu
facturers to have new restrictions
• placed on the free Importation of
news print, and said that ""interested
elements in Canada have been work
-1 ing to limit the export of raw ma-
I terials for news print in a raaner cal
culated to increase the manufacturing !",0
"Discussing relations with labor. Mr.
Thonjason said that negotiation of
international arbitration contracts
I with several printing trades upjqns'
| had been made virtually impossible
j because of the limited power placed
I with the officers of the association
I and of the unions themselves. He
asked that the present convention
increase the latitude pf the associa
tion’s committee in negotiating con
tracts. Negotiations with the typog
. raphers', stereotypers’, and mailers’
unions have been resumed, he said.
The speaker also suggested that the
publishers’ association take a leaf
from the book of labor in training ex
perts to draw arbitration contracts.
He asserted that the unions have been
successful in training contract nego
tiators at international headquarters,
who subsequently aided local unions",-1
"I ""In this connection it is well worth
noting that had the proposed modifi
cation of the news print definition been
adopted, the inspection methods pro
posed would have added approximate
ly $2.60 a ton to the cost of all news
print imported from Canada and
abroad.
The radio committee discussed at
length the effect of broadcasting de
velopments on newspapers. Asserting
that there is now a radio field of 25,-
000,000 persons, the committee found
that the printing of programs was
. news in its strictest sense. “Radio
fans, as a class, are more nearly
I identified with newspaper readers
than any other group,” the report
said.",0
"Information
that Henry J. Ferneke. diminutive
bandit captured in a library Satur
day. was planning a sensational day
light robbery of one of Chicago's
largest downtown banks, was ob
tained yesterday when the police
searched the home of Mrs. Ann.,
Bauchamp. 49.
Mrs. Bauchamp operated a rooming
house in which, the . police said.
Ferneke laid his plans and cached
smoke bombs, gas tanks and weapons,
which were to be used in the planned
robbery. In the cellar of the house
policemen found the equipment, after
a detective disguised as a laborer,
rented a room in the house and lived
there for several weeks.
William Shoemaker, chief of detec
tives. summarized the alleged plan
to rob the bank, the name of which
was withheld.",-1
"""They were to enter the bank and
close all the doors. The men carry
ing the ammonia tanks were to tin
loose the caps, and set the poison
fumes into the air.
""The bandits, safe behind the gas
masks, would then loot, the cages and
vaults of every cent of coin and pa pet
money and bonds.
""Almost before the police could
hear of it. they planned, they would
be on their way. If we followed in
time to make it uncomfortable .they
would set off their smoke bombs in
the downtown streets, and sent up
such block clouds that day would be
come night and we would be lost.",-1
"The new Aus
trian shilling currency, in which
j reckonings already are being made,
i although it exists in name only, is
causing may errors, sometimes with
! tragic results. Thus, a Styrian farm
er, Stefan Schriebel, yesterday hanged
himself upon learning that the 20ft
shillings for which he had sold hia
farm was not the equivalent of 200,«
000,000 crowns, but only 2,000,000,
t",-1
"The judi
cial authorities have published what
they declare to be a summary of the
confessions of some of the men ac
cused in connection with the assassi
nation last November of the Sirdar
of Egypt, Gen. Sir Lee Stack.
Abdel Fattah Anayat, one of the ac
cused, is quoted as declaring in the
course of his statement that, follow
ing the failure of the conversations
between the Egyptian and British
premiers in London on the Sudanese
and other questions, he met with Dr.
Shafik Mansur and Mahmud Ismail
at Dr. Shafik’s house, when it was
decided to commit a series of political
murders, with the sirdar as the first
victim.",-1
"All the persons mentioned in Ab
del’s .confession have been arrested.
Mahmud Ismail was an official of the
ministry of pious foundations.
Mahmud Rashid, a railway worker,
is alleged to have confessed that he
was a member of. tHe'""jfsoeiety of Ven
geance” and that Abdel spoke to him
about the murdeb'plans: that.he lent
his automobile; that he and Abdel
drove to the scene, waited uhtil the
assassination was' accomplished and
then escaped with TbrdftUp AlusA an
other of tire accused; v ' *
Believe in Violence.
Dr. Shafik, in his reputed- confes
sion, said there was , always 'present
In Egypt a force believing that British
rule could only be ended by violence
and Individual ""reprisals.. He how
ever, did not condone the'oiitrage, took
no part in it, and was only informed
of it by Abdel after it had been com
mitted.",-1
"Mohamed Fahmy, another of the
accused, admitted committing out
rages against several Europeans, but
disclaimed participation in the Sirdar
affair. He also admitted existence of
a secret society for carrying out
crimes, and asserted that Abdel Hamid
Anayat, brother of Abdel Fattah:
Ibrahim Musa, Mahmud Rashid, Dr.
Shafik Mansur and Mahmud Ismail
were all members.
The police this morning arrested
Hag Ahmed, an employe of the rail
way tvorkshops, at his home, and re
port finding there a parcel containing
& revolver and a quantity of “E type”
ammunition. The police declare that
while bullets of this type have been
used in six political outrages during
recent years, they had heretofore been
unable to obtain any sample of it.
Hag Ahmed is said to have exercised
great religious influence among the
railway workers.",-1
"Government to Carry Utah Fraud
Charge to Highest Court.
The Department of Justice will seek
a Supreme Court ruling on the ques
tion whether a criminal case can be
thrown out pf court _b ecav *se of the
presence iritthjr grefnd jbiryt of
an official to rbport the
indictment* prdreedftigs. fi _ •}
Attorney General . ••'Sargbnt. ' an
nounced that he would take steps im
mediately to perfect a .writ qf error
under the dtinknal appjal aeft td oh
tain a by the sipremg Court
of the <-ase*bf & 1 eorge A. Ptofrrs and
othehs, ’charged with using th* mails
to defraud, which was dismissed in the
District Court of Utah.
No Delay* —No Worries
Papering Prpmpjfcjy
and Properly Done, )
—very reasonable. The naperhanirers’ strike
does not affect us—Paintinr and dacoratlnp.
awnings made and repaired.- oh suit ms be*
fore havinr work done. > . _",-1
"The Williamsburg suite, though decidely Colonial, nevertheless em- • hill” chamber suite by Berkey 6? Gay. Care in the finish lias been
bodies many Sheraton characteristics. Ten Berkey ©Gay pieces with ........ taken to glorify the beauty of the butt walnut and bird's-eye maple
two armchairs and oblong table. that is used
The woods used are mahogany, with satinwood and corla burl oma* .. .
mentation, and selected gumwood. Buffet is 68 inches long and ‘ way u fol |rH ' "" Dresser and Glass SIIB.OO
conveniently arranged for practical usage in the home. |jj ! t |
wl The WUberforce, Four Pieces, $298 ’ Jj|Lp| J[j *
II A.* l exquisite Sheraton chamber suite named after William Wilber- p X| Iff ,j|] -
force, the great English statesman. Figured walnut, butt walnut, _ MjflSip»- iPr g v| 0 fSIjWK:I
& | ' maple burl and select gumwood are the woods embodied in this suite. Jjj!| mom
r The Compiegne, Four Pieces, $325 $ »9.'00 . 8 P^Pi
The Compiegne, with its tapered legs surmounted by carved top piece' Rocker . ,-.i $15.50 - •{;. „
,nd Ac carcfolly chaped and carved mirror aupporl, of Ae 50-incb $10.50. - Tlfe BUChalian, Ten PieCCS, $450
dresser, is reminiscent of the Louis AVI period* Rich brown tones 'Ll. _
of walnut and selected gumwood enhance its beauty. - p ' .1 .",1
"Substantiating the belief that the acquiring of a
i v j beautiful home is much more a matter of good
I •; taste and careful buying than expense, Mayer 4gf3ps^s
|jjj i-S-fi Co. calls attention to this rare showing of line
jpl JJj sui tes at prices that prove the contention. _’• | 'l . ! j j i
* You'll find in this showing that you can furnish dsssssst& W v JiT HHap
your bedroom or dining room with genuinely good IV- if
furniture at a lower price than you d ever expect
m ' m - The magnitude of this display is almost unbeliev- ; f—i/j
able. So much good furniture everywhere you loot _ • • - ; '
The Covington, Four Pieces, $475 that you cant help but see a suite that seems to have 7
A suite typical of the quaint Empire Colonial Style. Crotch and been made JUSt for your room and at JUSt your T'he T'dl PleCeS $495
figured mahogany, maple burl, redwood burl, maple and gumwood price
•re graciously combined in the pieces. The warm, brown finish is W..' m . , ~ , , . . . , T",1
"Ed Wynn's Nonsense.
Ed Wynn, who surprised the so
phisticates of shov.'dom with the popu
lar favor he attracted to himself and
his tun piece, “The Perfect Fool,”
violating all canons of theater pro
cedure in form, manner, direction
and creation, is said to have repeated
the miracle in “The .Grab Bag,"" the
new spectacular musical laughquake
with which the comedian comes to
the National next week beginning
Sunday night. The show comes di
rect from an all-season run at the
Globe Theater, New York, with the
entire production intact and _without
a single change.
Like its predecessor, the new piece
has been “writ, musicked, drawn and
quartered wholly by the star.” Wynn
this season is under the personal di
rection of A. Li. Erlanger. There is
a large supporting company and
Julian Mitchell, past master of stage
direction, staged the new piece.
BELASCO—""Queen Mab.""",1
"Oliver Morosco will bring to the Be
lasco Theater next week a new play,
“Queen Mab.” described as a little bit
different from anything which the
stage has had to offer in some time.
It was written by John Hastings
Turner, and deals with the age-old
locale of the small legendary kingdom
amid the eternal hills of the Balkans.
While comedy is the dominant theme,
the play is accentuated with flashes
of pathos and natural true-to-life sit
uations. An exceptional cast is prom
ised. including Mary Duncan. Edward
Emery. Lumsden Hare, Minnie Du
pree. Carolyne McLean. Carlton Brick
ert, Marion Vantine. Margot Lester,
Charles Brown, Harold West, Frank
Hubert, Leigh Lovell and Francis X.
Malloy.",1
"Frank Fay, the great funster, will
be featured in his latest, original col
lection of laugh producers, and Alma
Nielson. assisted by Dan -B. Ely and
Dave Rice and the Frivolity Five, will
cffer original and cleverly presented
dances.
Others will include Galetti and Ko
kin in “Comedy Novelty Surprises,”
a combination of dancing, songs and
the only featured monkey in vaude
ville; Marie Walsh and Frank Ellis,
in a skit called “What a Nice House
Ours Is;” Ryan and Ryan, in songs
and steps; Weldano’s sensation, a
vaudeville's spectacular attraction,
and Larimer and Hudson, bicycle ex
perts.",1
"Almost equally prominent on the
bill is the Paramount photoplay, “The
Night Club.” with the light comedian
Raymond Griffith featured.
Other offerings are: Thomas P.
Jackson and company in “The New
Stenographer”: Harrison Greene and
Katherine Parker in a two-act com
edy; Jack Fulton and Dorothy Qui
nett, In ""A Girl of Today,” written by
Paul Gerard Smith and Lesler Lee;
Adelyn Jason and Helen Harrigan,
who sing and dance, and the Romas
Troupe, a group of acrobatic wonders.
STRAND—De Carlos and Granada.
The Strand Theater’s headline at
traction next week will be De Carlos
and Granada, assisted ’by their own
Argentine Orchestra, in “Character
Dances and Melodies.”",1
"The Mutual Theater announces that
it will bring back ""The French
Follies next week. In this attraction
the chorus is the main feature. The
girls are youthful, pretty, trim and
good singers and dancers, and they
all have 20 changes of costumes.
Betty Palmer heads the cast and
others are Charles Le Vine, Billy
Tanner, Eddy Dyer, Arthur Lyons,
Harry Connors, Beulah Baker and
Loretta Fradlln.
METROPOLITAN—""New Toys.""
Richard Barthelmess next week will
be featured at Crandall’s Metropolitan
Theater in a feature-length comedy,
“New Toys,” adapted from the play
by Milton Herbert Gropper, author",1
"The Beloved Brute ”
William Russell. Marguerite De La
Motte, Victor McLaglen, Stuart
Holmes and Mary Alden are in the
cast to be seen the first two days
of next week at Crandall’s Central
Theater in “The Beloved Brute,” a
Vitagraph production, together with
Lloyd Hamilton in “Half a Hero”;
Tuesday and Wednesday, Constance
Talmadge an-i Antonio Moreno, in
First National's ""Learning To Love,”
also Ralph Graves in “The Plumber”;
Thursday and Friday, Doris Kenyon.
Ronald Colman, Alleen Pringle, Alec
B. Francis and Claude Gillingwater
in ""A Thief in Paradise,” and Cliff
Bowes in ""Ship Shape”; Saturday;
Thomas Meighan, supported by Lila
Lee and Wallace Berry, in “Coming
Through,” and a juvenile comedy,
""Wildcat Willie.”",1
